Study;D1;D2;D3;D4;D5;D6;D7;Overall;Weight
Fitzpatrick;Moderate;Low;Low;Low;Low;Moderate;Low;Moderate;6,25
Barros;Moderate;Low;Low;Low;Low;Serious;Low;Moderate;6,25
Mosen;Moderate ;Low;Low;Low;Low;Moderate;Low;Moderate;6,25
To;Serious;Serious;Low;Low;Moderate;Low;Low;Moderate;6,25
Green;Moderate;Moderate;Low;Serious;Moderate;Moderate;Low;Serious;6,25
Lang;Moderate;Serious;Low;Low;Low;Low;Low;Moderate;6,25
Holguin;Moderate;Serious;Low;Moderate;Low;Low;Low;Moderate;6,25
Forte;Moderate;Moderate;Low;Low;Serious;Low;Low;Moderate;6,25
Luthe;Moderate;Low;Low;Low;Serious;Moderate;Low;Moderate;6,25
Gonzalez-Barcala;Moderate;Low;Moderate;Low;Serious;Moderate;Low;Moderate;6,25
Wang;Moderate;Low;Low;Low;Low;Moderate;Low;Moderate;6,25
Jeong;Low;Serious;Low;Low;Low;Low;Low;Moderate;6,25
Xu;Moderate;Low;Low;Low;Low;Moderate;Low;Moderate;6,25
Okubo;Moderate;Moderate;Low;Low;Low;Serious;Low;Moderate;6,25
Ho;Low;Moderate;Low;Low;Serious;Low;Low;Moderate;6,25
Irani;Moderate;Low;Low;Low;Moderate;Serious;Low;Moderate;6,25
de Jesus;Serious;Serious;Low;Low;Low;Low;Low;Serious;6,25
Lu;Low;Moderate;Moderate;Low;Moderate;Low;Low;Moderate;6,25
